Club,id,LeagueID
Valenciennes FC,487,0
FC Thun,488,0
San Luis de Quillota,489,0
 SSV Jahn Regensburg,490,0
Cosenza,491,0
FC Nordsjælland,492,0
FC Erzgebirge Aue,493,0
Jeonnam Dragons,494,0
Wolfsberger AC,495,0
Chamois Niortais Football Club,496,0
Club Deportes Temuco,497,0
AS Nancy Lorraine,498,0
Red Star FC,499,0
Al Hazem,500,0
Pogoń Szczecin,501,0
Charlton Athletic,502,0
Grenoble Foot 38,503,0
FC Hansa Rostock,504,0
San Martin de Tucumán,505,0
Incheon United FC,506,0
Śląsk Wrocław,507,0
GFC Ajaccio,508,0
1. FC Kaiserslautern,509,0
Deportivo Pasto,510,0
Lincoln City,511,0
Motherwell,512,0
Rotherham United,513,2
Burton Albion,514,0
Wisła Płock,515,0
FC Wacker Innsbruck,516,0
Peterborough United,517,0
Ascoli,518,0
FC Zürich,519,0
Fleetwood Town,520,0
Padova,521,0
FC Sochaux-Montbéliard,522,0
SV Wehen Wiesbaden,523,0
Unión La Calera,524,0
Scunthorpe United,525,0
CD O'Higgins,526,0
CD Antofagasta,527,0
Plymouth Argyle,528,0
Aarhus GF,529,0
Lillestrøm SK,530,0
Karlsruher SC,531,0
GIF Sundsvall,532,0
FC Emmen,533,0
Barnsley,534,0
Audax Italiano,535,0
V-Varen Nagasaki,536,0
Paris FC,537,0
SpVgg Unterhaching,538,0
Hobro IK,539,0
De Graafschap,540,0
Hokkaido Consadole Sapporo,541,0
Tromsø IL,542,0
FC Luzern,543,0
FK Haugesund,544,0
Zagłębie Lubin,545,0
VfR Aalen,546,0
Dundalk,547,0
Oxford United,548,0
Piast Gliwice,549,0
Ohod Club,550,0
Östersunds FK,551,0
Vegalta Sendai,552,0
Crawley Town,553,0
FC Admira Wacker Mödling,554,0
Vålerenga Fotball,555,0
Dundee FC,556,0
Portsmouth,557,0
Envigado FC,558,0
Miedź Legnica,559,0
Odds BK,560,0
SC Fortuna Köln,561,0
US Orléans Loiret Football,562,0
Sarpsborg 08 FF,563,0
Jaguares de Córdoba,564,0
Bradford City,565,0
Accrington Stanley,566,0
St. Johnstone FC,567,0
Boyacá Chicó FC,568,0
Luton Town,569,0
SV Mattersburg,570,0
Kristiansund BK,571,0
Sangju Sangmu FC,572,0
Rochdale,573,0
Walsall,574,0
Korona Kielce,575,0
Shonan Bellmare,576,0
FC Würzburger Kickers,577,0
FSV Zwickau,578,0
St. Mirren,579,0
AC Horsens,580,0
Esbjerg fB,581,0
HJK Helsinki,582,0
Southend United,583,0
Bristol Rovers,584,0
Hamilton Academical FC,585,0
TSV 1860 München,586,0
Curicó Unido,587,0
SCR Altach,588,0
Ranheim Fotball,589,0
Stevenage,590,0
SG Sonnenhof Großaspach,591,0
Oldham Athletic,592,0
Milton Keynes Dons,593,0
FK Bodø/Glimt,594,0
SC Preußen Münster,595,0
Wycombe Wanderers,596,0
Vejle Boldklub,597,0
Bury,598,0
Randers FC,599,0
VfL Osnabrück,600,0
SønderjyskE,601,0
IFK Göteborg,602,0
Mansfield Town,603,0
Coventry City,604,0
Waterford FC,605,0
Shrewsbury,606,0
IK Start,607,0
Gillingham,608,0
FC Energie Cottbus,609,0
FC Carl Zeiss Jena,610,0
Hallescher FC,611,0
SV Meppen,612,0
AFC Wimbledon,613,0
Blackpool,614,0
Doncaster Rovers,615,0
Sandefjord Fotball,616,0
VfL Sportfreunde Lotte,617,0
Cheltenham Town,618,0
IK Sirius,619,0
Vendsyssel FF,620,0
Swindon Town,621,0
Notts County,622,0
SKN St. Pölten,623,0
Exeter City,624,0
Northampton Town,625,0
Shamrock Rovers,626,0
Colchester United,627,0
Livingston FC,628,0
TSV Hartberg,629,0
Tranmere Rovers,630,0
Cambridge United,631,0
Grimsby Town,632,0
Port Vale,633,0
Itagüí Leones FC,634,0
Forest Green Rovers,635,0
Dalkurd FF,636,0
Zagłębie Sosnowiec,637,0
Carlisle United,638,0
Trelleborgs FF,639,0
St. Patrick's Athletic,640,0
Morecambe,641,0
Cork City,642,0
IF Brommapojkarna,643,0
Crewe Alexandra,644,0
Yeovil Town,645,0
Bohemian FC,646,0
Macclesfield Town,647,0
Newport County,648,0
Sligo Rovers,649,0
Derry City,650,0
Limerick FC,651,0
Bray Wanderers,652,0
