Name,Age,Photo,Nationality,Overall,Growth,TeamID,PosistionID,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes
C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,16,88,3,10,4,88,80,52,91,77,84,86,87,88,91,75,73,79,88,81,84,50,92,58,89,46,56,83,91,67,88,59,57,22,9,14,7,7,6
Coutinho,26,https://cdn.sofifa.org/players/4/19/189242.png,3,88,1,1,3,79,79,48,88,75,91,91,86,83,92,89,75,92,83,93,83,59,79,61,93,59,49,84,90,70,85,55,54,47,12,7,9,14,6
P. Aubameyang,29,https://cdn.sofifa.org/players/4/19/188567.png,17,88,0,13,6,77,88,79,77,86,79,80,74,64,82,93,95,76,87,70,82,79,76,76,79,43,48,90,77,76,86,27,25,36,6,9,15,9,9
M. Hummels,29,https://cdn.sofifa.org/players/4/19/178603.png,10,88,0,9,10,64,55,87,81,60,68,65,53,85,81,53,64,63,87,60,71,68,66,84,51,69,92,56,79,68,91,88,90,88,15,6,10,5,6
Marcelo,30,https://cdn.sofifa.org/players/4/19/176676.png,3,88,0,7,9,90,70,75,84,54,90,85,67,76,92,83,82,86,88,86,83,76,91,78,70,84,85,85,82,59,86,71,85,86,12,5,5,5,9
G. Bale,28,https://cdn.sofifa.org/players/4/19/173731.png,18,88,0,7,1,87,86,84,85,85,87,90,87,80,85,94,95,82,85,65,92,87,75,80,91,65,59,85,79,76,86,54,55,52,15,15,11,5,6
H. Lloris,31,https://cdn.sofifa.org/players/4/19/167948.png,11,88,0,10,11,13,10,10,50,11,10,11,10,50,34,65,62,55,85,54,23,74,41,43,14,31,27,10,30,40,65,29,10,18,88,84,68,83,92
G. Higuaín,30,https://cdn.sofifa.org/players/4/19/167664.png,1,88,0,14,1,68,92,80,75,90,84,74,62,59,85,73,73,75,86,69,86,79,70,85,80,50,20,92,74,70,86,35,22,18,5,12,7,5,10
Thiago Silva,33,https://cdn.sofifa.org/players/4/19/164240.png,3,88,0,3,10,60,38,81,80,63,62,61,64,80,80,70,72,68,82,68,71,90,74,82,68,76,89,59,72,60,81,88,89,85,9,12,5,9,10
S. Handanovič,33,https://cdn.sofifa.org/players/4/19/162835.png,8,88,0,15,11,12,10,10,36,12,12,12,14,34,16,51,55,47,83,36,22,78,41,71,19,25,22,12,41,23,69,25,10,13,87,86,69,89,89
G. Buffon,40,https://cdn.sofifa.org/players/4/19/1179.png,13,88,0,3,11,13,15,13,37,17,26,20,13,35,28,49,43,55,79,49,39,75,39,69,13,38,28,12,50,22,70,13,11,11,88,87,74,90,83
S. Umtiti,24,https://cdn.sofifa.org/players/4/19/205600.png,11,87,5,1,10,69,51,79,81,70,69,72,62,73,77,71,73,68,82,66,83,89,78,84,74,81,87,58,58,61,82,90,89,86,15,10,14,12,15
M. Icardi,25,https://cdn.sofifa.org/players/4/19/201399.png,1,87,3,15,1,46,91,91,73,85,77,58,45,54,81,77,78,76,88,76,84,94,72,76,70,56,22,92,64,82,85,45,24,20,13,9,5,7,9
K. Koulibaly,27,https://cdn.sofifa.org/players/4/19/201024.png,19,87,3,12,10,30,19,81,66,14,66,28,28,56,60,68,75,50,80,40,55,81,71,94,15,87,88,24,43,33,78,91,88,86,7,11,7,13,5
P. Pogba,25,https://cdn.sofifa.org/players/4/19/195864.png,11,87,4,4,7,80,73,73,86,85,87,84,82,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,5,6,2,4,3
K. Navas,31,https://cdn.sofifa.org/players/4/19/193041.png,20,87,0,7,11,11,15,11,30,11,16,11,15,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,90,81,75,82,90
R. Lukaku,25,https://cdn.sofifa.org/players/4/19/192505.png,5,87,2,4,1,78,87,86,77,79,80,74,66,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,8,15,14,7,10
C. Immobile,28,https://cdn.sofifa.org/players/4/19/192387.png,13,87,0,16,1,55,90,81,74,87,83,70,51,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,6,8,15,12,6
Jordi Alba,29,https://cdn.sofifa.org/players/4/19/189332.png,4,87,0,1,9,87,73,70,84,60,80,80,63,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,13,15,13,6,13
D. Mertens,31,https://cdn.sofifa.org/players/4/19/175943.png,5,87,0,12,2,77,86,35,82,70,91,82,79,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,7,10,8,10,4
J. Vertonghen,31,https://cdn.sofifa.org/players/4/19/172871.png,5,87,0,10,10,68,56,80,79,52,71,58,73,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,6,10,9,12,7
M. Hamšík,30,https://cdn.sofifa.org/players/4/19/171877.png,21,87,0,12,5,78,79,74,88,79,86,80,72,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,8,6,4,14,14
I. Rakitić,30,https://cdn.sofifa.org/players/4/19/168651.png,6,87,0,1,5,84,83,58,87,80,84,88,84,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,14,11,12,5,9
Piqué,31,https://cdn.sofifa.org/players/4/19/152729.png,4,87,0,1,10,57,64,83,81,57,59,58,43,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,10,11,14,15,8
L. Sané,22,https://cdn.sofifa.org/players/4/19/222492.png,10,86,6,5,3,83,81,72,79,85,88,82,68,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,8,12,9,9,14
Bernardo Silva,23,https://cdn.sofifa.org/players/4/19/218667.png,2,86,5,5,3,85,75,51,85,69,92,83,67,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,9,10,14,12,9
Ederson,24,https://cdn.sofifa.org/players/4/19/210257.png,3,86,4,5,11,20,14,14,56,18,23,15,20,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,85,80,91,82,87
S. Mané,26,https://cdn.sofifa.org/players/4/19/208722.png,19,86,1,11,6,73,84,62,79,71,87,74,64,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,10,10,15,7,14
V. van Dijk,26,https://cdn.sofifa.org/players/4/19/203376.png,22,86,2,11,10,53,52,82,76,45,70,60,70,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,13,10,13,11,11
R. Sterling,23,https://cdn.sofifa.org/players/4/19/202652.png,12,86,3,5,3,77,77,38,84,67,88,70,63,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,15,12,12,15,9
Roberto Firmino,26,https://cdn.sofifa.org/players/4/19/201942.png,3,86,1,11,4,72,87,77,86,81,87,80,65,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,8,11,9,6,10
R. Varane,25,https://cdn.sofifa.org/players/4/19/201535.png,11,86,5,7,10,36,40,83,75,42,57,46,54,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,11,11,9,5,14
M. Verratti,25,https://cdn.sofifa.org/players/4/19/199556.png,13,86,3,3,5,72,60,55,90,64,90,73,64,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,12,12,15,15,10
Alex Sandro,27,https://cdn.sofifa.org/players/4/19/191043.png,3,86,0,2,9,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5
Douglas Costa,27,https://cdn.sofifa.org/players/4/19/190483.png,3,86,0,2,6,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5
T. Müller,28,https://cdn.sofifa.org/players/4/19/189596.png,10,86,0,9,4,79,87,82,83,84,75,81,59,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,6,7,11,14,14
Thiago,27,https://cdn.sofifa.org/players/4/19/189509.png,4,86,0,9,5,72,69,54,90,90,90,85,77,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,6,11,7,9,13
M. Reus,29,https://cdn.sofifa.org/players/4/19/188350.png,10,86,0,17,6,79,87,49,86,90,87,89,84,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,12,12,13,13,11
Azpilicueta,28,https://cdn.sofifa.org/players/4/19/184432.png,4,86,0,6,9,81,46,76,81,51,69,68,58,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,13,9,10,6,5
L. Bonucci,31,https://cdn.sofifa.org/players/4/19/184344.png,13,86,0,2,10,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4
T. Alderweireld,29,https://cdn.sofifa.org/players/4/19/184087.png,5,86,1,10,10,64,45,82,79,38,62,63,69,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,16,6,14,16,14
M. Pjanić,28,https://cdn.sofifa.org/players/4/19/180206.png,23,86,0,2,7,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8
M. Benatia,31,https://cdn.sofifa.org/players/4/19/177509.png,24,86,0,2,10,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11
M. Özil,29,https://cdn.sofifa.org/players/4/19/176635.png,10,86,0,13,4,83,73,54,89,80,84,84,77,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,6,14,10,6,14
Fernandinho,33,https://cdn.sofifa.org/players/4/19/135507.png,3,86,0,5,7,68,69,63,85,74,77,70,72,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,12,11,5,13,7
Iniesta,34,https://cdn.sofifa.org/players/4/19/41.png,4,86,0,18,2,77,70,54,90,74,90,80,70,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,6,13,6,13,7
M. Škriniar,23,https://cdn.sofifa.org/players/4/19/232363.png,21,85,7,15,10,40,42,80,70,40,59,34,30,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,10,13,12,8,12
S. Milinković-Savić,23,https://cdn.sofifa.org/players/4/19/223848.png,25,85,5,16,5,64,80,86,85,74,86,78,75,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,7,10,7,16,7
Marco Asensio,22,https://cdn.sofifa.org/players/4/19/220834.png,4,85,7,7,3,82,82,50,83,79,86,83,76,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,13,9,6,12,10
N. Fekir,24,https://cdn.sofifa.org/players/4/19/216594.png,11,85,4,19,4,83,82,49,83,77,90,81,79,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,15,9,8,14,15
Alisson,25,https://cdn.sofifa.org/players/4/19/212831.png,3,85,5,11,11,17,13,19,45,20,27,19,18,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,83,81,85,84,88
J. Kimmich,23,https://cdn.sofifa.org/players/4/19/212622.png,10,85,3,9,5,90,66,74,85,61,80,81,61,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,8,15,7,15,15
Saúl,23,https://cdn.sofifa.org/players/4/19/208421.png,4,85,5,8,5,69,78,83,85,76,83,72,60,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,7,13,12,10,9
R. Mahrez,27,https://cdn.sofifa.org/players/4/19/204485.png,26,85,0,5,3,81,80,48,82,72,91,84,78,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,15,9,13,11,6
D. Alaba,26,https://cdn.sofifa.org/players/4/19/197445.png,27,85,2,9,9,81,63,75,82,68,79,78,84,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,5,7,14,15,9
Koke,26,https://cdn.sofifa.org/players/4/19/193747.png,4,85,1,8,6,86,72,61,90,56,82,85,76,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,14,12,5,10,13
A. Lacazette,27,https://cdn.sofifa.org/players/4/19/193301.png,11,85,1,13,1,64,88,73,80,81,85,74,71,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,11,6,9,5,6
K. Manolas,27,https://cdn.sofifa.org/players/4/19/192774.png,28,85,2,20,10,27,10,80,60,16,54,30,10,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,8,6,8,15,12
N. Otamendi,30,https://cdn.sofifa.org/players/4/19/192366.png,1,85,0,5,10,52,54,85,75,57,51,50,39,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,12,5,8,11,12
Parejo,29,https://cdn.sofifa.org/players/4/19/189513.png,4,85,0,21,5,84,79,61,90,72,78,89,90,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,5,9,12,14,8
Paulinho,29,https://cdn.sofifa.org/players/4/19/187961.png,3,85,0,22,7,64,81,85,84,75,82,66,72,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,16,16,11,6,8
W. Szczęsny,28,https://cdn.sofifa.org/players/4/19/186153.png,9,85,2,2,11,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,85,81,71,85,87
A. Sánchez,29,https://cdn.sofifa.org/players/4/19/184941.png,29,85,0,4,3,77,80,73,77,83,87,79,78,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,10,10,15,12,13
Y. Brahimi,28,https://cdn.sofifa.org/players/4/19/184267.png,26,85,0,23,6,79,76,46,79,73,93,84,78,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,13,16,12,7,7
J. Boateng,29,https://cdn.sofifa.org/players/4/19/183907.png,10,85,0,9,10,69,34,85,75,52,64,53,31,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,7,12,15,6,5
A. Vidal,31,https://cdn.sofifa.org/players/4/19/181872.png,29,85,0,1,4,76,75,82,83,78,76,76,68,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,4,2,4,2,4
I. Perišić,29,https://cdn.sofifa.org/players/4/19/181458.png,6,85,0,15,6,83,79,80,81,81,84,73,75,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54,6,7,10,9,6
E. Džeko,32,https://cdn.sofifa.org/players/4/19/180930.png,23,85,0,20,1,63,89,84,77,77,76,65,54,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16,9,11,13,15,15
S. Khedira,31,https://cdn.sofifa.org/players/4/19/179846.png,10,85,0,2,5,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76,11,9,5,15,8
Diego Costa,29,https://cdn.sofifa.org/players/4/19/179844.png,4,85,0,8,1,65,87,82,65,81,77,62,59,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34,11,13,12,8,11
R. Nainggolan,30,https://cdn.sofifa.org/players/4/19/178518.png,5,85,0,15,4,73,75,59,84,75,80,73,68,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90,11,11,14,8,11
Naldo,35,https://cdn.sofifa.org/players/4/19/171919.png,3,85,0,24,10,45,57,94,76,60,60,52,76,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,60,84,86,88,85,14,10,14,8,14
B. Matuidi,31,https://cdn.sofifa.org/players/4/19/170890.png,11,85,0,2,6,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,8,11,5,10,14
Miranda,33,https://cdn.sofifa.org/players/4/19/168609.png,3,85,0,15,10,48,43,80,70,51,67,32,39,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,49,81,90,90,85,12,6,10,13,12
K. Benzema,30,https://cdn.sofifa.org/players/4/19/165153.png,11,85,0,7,1,75,81,80,83,82,83,79,73,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12,13,11,5,5,7
Filipe Luís,32,https://cdn.sofifa.org/players/4/19/164169.png,3,85,0,8,9,86,59,72,80,56,77,74,75,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,70,65,88,78,84,86,11,15,9,9,5
V. Kompany,32,https://cdn.sofifa.org/players/4/19/139720.png,5,85,0,5,10,61,45,84,73,46,63,61,52,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,63,81,87,85,84,10,9,5,8,6
Pepe,35,https://cdn.sofifa.org/players/4/19/120533.png,2,85,0,25,10,46,46,80,70,23,58,44,47,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,48,57,79,86,85,82,8,15,5,9,10
Z. Ibrahimović,36,https://cdn.sofifa.org/players/4/19/41236.png,30,85,0,26,1,73,86,83,79,86,79,82,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,13,15,10,9,12
D. Sánchez,22,https://cdn.sofifa.org/players/4/19/220793.png,15,84,4,10,10,36,40,80,77,28,63,30,27,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88,9,7,10,6,15
J. Giménez,23,https://cdn.sofifa.org/players/4/19/216460.png,7,84,4,8,10,47,37,81,68,30,47,36,44,58,56,69,70,56,76,43,72,92,67,85,48,89,85,24,27,38,73,88,86,87,9,11,7,10,15
Alex Telles,25,https://cdn.sofifa.org/players/4/19/212462.png,3,84,3,23,9,89,65,74,83,67,82,87,79,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,68,80,80,81,79,13,8,12,11,14
A. Laporte,24,https://cdn.sofifa.org/players/4/19/212218.png,11,84,4,5,10,58,45,85,76,40,59,61,69,78,73,62,66,45,83,55,68,75,67,82,47,75,85,54,57,44,77,85,86,87,10,11,5,14,5
Bruno Fernandes,23,https://cdn.sofifa.org/players/4/19/212198.png,2,84,4,27,5,84,73,58,85,84,83,85,81,82,85,79,76,77,84,78,87,72,89,67,88,65,70,79,86,81,83,63,66,53,12,14,15,8,14
N. Süle,22,https://cdn.sofifa.org/players/4/19/212190.png,10,84,6,9,10,30,20,86,78,31,42,28,30,63,63,52,84,33,79,33,77,38,65,94,62,82,82,26,30,32,72,82,85,83,15,7,14,7,15
A. Martial,22,https://cdn.sofifa.org/players/4/19/211300.png,11,84,6,4,3,76,84,69,77,74,87,84,54,60,86,88,89,85,81,81,84,74,75,75,80,58,42,83,73,81,79,38,39,36,9,8,8,15,11
D. Alli,22,https://cdn.sofifa.org/players/4/19/211117.png,12,84,6,10,5,69,83,77,85,79,83,75,68,80,85,73,76,76,85,62,78,67,90,71,80,84,74,86,85,74,86,70,70,63,7,6,9,11,8
Fabinho,24,https://cdn.sofifa.org/players/4/19/209499.png,3,84,4,11,7,79,66,75,83,47,76,71,53,78,82,69,72,69,83,67,78,75,92,79,65,85,84,70,75,91,84,83,86,84,13,12,6,8,8
Marquinhos,24,https://cdn.sofifa.org/players/4/19/207865.png,3,84,5,3,7,72,33,80,81,31,59,49,32,78,76,73,76,69,81,68,53,86,75,74,35,80,84,46,51,31,79,85,87,87,6,6,12,10,13
William Carvalho,26,https://cdn.sofifa.org/players/4/19/207566.png,2,84,2,28,7,68,52,73,84,50,80,79,50,86,79,49,53,51,75,51,59,69,84,90,55,75,84,64,83,60,89,84,85,68,6,6,5,14,14
